nation,league,season,date,round,home,away,HGHT,AGHT,HTR,HG2H,AG2H,2HR,HGFT,AGFT,FTR,HGT,AGT,Goals_HT,Goals_FT,Goals_2H
BRAZIL,SERIE A,2023,2023-04-15,1,Palmeiras,Cuiaba,1,1,D,1,0,H,2,1,H,"5, 65",45+6,2,3,1
BRAZIL,SERIE A,2023,2023-04-15,1,America MG,Fluminense,0,0,D,0,3,A,0,3,A,,"52, 60, 72",0,3,3
BRAZIL,SERIE A,2023,2023-04-15,1,Fortaleza,Internacional,0,0,D,1,1,D,1,1,D,57,54,0,2,2
BRAZIL,SERIE A,2023,2023-04-15,1,Bragantino,Bahia,0,1,A,2,0,H,2,1,H,"54, 70",45,1,3,2
BRAZIL,SERIE A,2023,2023-04-15,1,Botafogo RJ,Sao Paulo,1,1,D,1,0,H,2,1,H,"4, 88",17,2,3,1
BRAZIL,SERIE A,2023,2023-04-15,1,Athletico-PR,Goias,1,0,H,1,0,H,2,0,H,"36, 58",,1,2,1
BRAZIL,SERIE A,2023,2023-04-15,1,Atletico-MG,Vasco,1,2,A,0,0,D,1,2,A,45+5,"5, 11",3,3,0
BRAZIL,SERIE A,2023,2023-04-16,1,Flamengo RJ,Coritiba,1,0,H,2,0,H,3,0,H,"12, 56, 90+5",,1,3,2
BRAZIL,SERIE A,2023,2023-04-16,1,Corinthians,Cruzeiro,0,0,D,2,1,H,2,1,H,"69, 88",90+6,0,3,3
BRAZIL,SERIE A,2023,2023-04-16,1,Gremio,Santos,1,0,H,0,0,D,1,0,H,44,,1,1,0
BRAZIL,SERIE A,2023,2023-04-22,2,Fluminense,Athletico-PR,1,0,H,1,0,H,2,0,H,"11, 67",,1,2,1
BRAZIL,SERIE A,2023,2023-04-22,2,Sao Paulo,America MG,1,0,H,2,0,H,3,0,H,"21, 82, 90+5",,1,3,2
BRAZIL,SERIE A,2023,2023-04-22,2,Cuiaba,Bragantino,0,0,D,1,1,D,1,1,D,67,85,0,2,2
BRAZIL,SERIE A,2023,2023-04-22,2,Cruzeiro,Gremio,0,0,D,1,0,H,1,0,H,64,,0,1,1
BRAZIL,SERIE A,2023,2023-04-23,2,Goias,Corinthians,1,1,D,2,0,H,3,1,H,"31, 81, 90+5",17,2,4,2
BRAZIL,SERIE A,2023,2023-04-23,2,Santos,Atletico-MG,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE A,2023,2023-04-23,2,Coritiba,Fortaleza,0,0,D,0,3,A,0,3,A,,"52, 83, 90+1",0,3,3
BRAZIL,SERIE A,2023,2023-04-23,2,Internacional,Flamengo RJ,0,0,D,2,1,H,2,1,H,"67, 90+9",63,0,3,3
BRAZIL,SERIE A,2023,2023-04-23,2,Vasco,Palmeiras,2,1,H,0,1,A,2,2,D,"29, 40","45+2, 63",3,4,1
BRAZIL,SERIE A,2023,2023-04-24,2,Bahia,Botafogo RJ,1,1,D,0,1,A,1,2,A,42,"29, 78",2,3,1
BRAZIL,SERIE A,2023,2023-04-29,3,Atletico-MG,Athletico-PR,1,0,H,1,1,D,2,1,H,"10, 84",90+2,1,3,2
BRAZIL,SERIE A,2023,2023-04-29,3,Fortaleza,Fluminense,2,1,H,2,1,H,4,2,H,"29, 35, 60, 79","45+2, 69",3,6,3
BRAZIL,SERIE A,2023,2023-04-29,3,Coritiba,Sao Paulo,1,0,H,0,1,A,1,1,D,13,81,1,2,1
BRAZIL,SERIE A,2023,2023-04-29,3,Santos,America MG,2,1,H,1,1,D,3,2,H,"19, 40, 69","7, 49",3,5,2
BRAZIL,SERIE A,2023,2023-04-29,3,Palmeiras,Corinthians,2,0,H,0,1,A,2,1,H,"16, 36",77,2,3,1
BRAZIL,SERIE A,2023,2023-04-29,3,Bragantino,Cruzeiro,0,1,A,0,2,A,0,3,A,,"2, 65, 87",1,3,2
BRAZIL,SERIE A,2023,2023-04-30,3,Flamengo RJ,Botafogo RJ,0,2,A,2,1,H,2,3,A,"59, 86","30, 45+5, 71",2,5,3
BRAZIL,SERIE A,2023,2023-04-30,3,Internacional,Goias,0,0,D,1,0,H,1,0,H,52,,0,1,1
BRAZIL,SERIE A,2023,2023-04-30,3,Cuiaba,Gremio,1,1,D,0,1,A,1,2,A,29,"10, 68",2,3,1
BRAZIL,SERIE A,2023,2023-05-01,3,Vasco,Bahia,0,1,A,0,0,D,0,1,A,,44,1,1,0
BRAZIL,SERIE A,2023,2023-05-06,4,Cruzeiro,Santos,1,0,H,1,1,D,2,1,H,"21, 62",57,1,3,2
BRAZIL,SERIE A,2023,2023-05-06,4,Fluminense,Vasco,0,1,A,1,0,H,1,1,D,55,2,1,2,1
BRAZIL,SERIE A,2023,2023-05-07,4,Goias,Palmeiras,0,1,A,0,4,A,0,5,A,,"10, 48, 78, 83, 90",1,5,4
BRAZIL,SERIE A,2023,2023-05-07,4,Botafogo RJ,Atletico-MG,1,0,H,1,0,H,2,0,H,"30, 60",,1,2,1
BRAZIL,SERIE A,2023,2023-05-07,4,Gremio,Bragantino,1,1,D,2,2,D,3,3,D,"6, 56, 62","9, 53, 90+1",2,6,4
BRAZIL,SERIE A,2023,2023-05-07,4,Athletico-PR,Flamengo RJ,1,1,D,1,0,H,2,1,H,"29, 80",15,2,3,1
BRAZIL,SERIE A,2023,2023-05-07,4,Bahia,Coritiba,1,0,H,2,1,H,3,1,H,"16, 65, 68",63,1,4,3
BRAZIL,SERIE A,2023,2023-05-07,4,Sao Paulo,Internacional,1,0,H,1,0,H,2,0,H,"33, 70",,1,2,1
BRAZIL,SERIE A,2023,2023-05-07,4,America MG,Cuiaba,1,0,H,0,2,A,1,2,A,12,"85, 90+1",1,3,2
BRAZIL,SERIE A,2023,2023-05-08,4,Corinthians,Fortaleza,0,0,D,1,1,D,1,1,D,88,79,0,2,2
BRAZIL,SERIE A,2023,2023-05-10,5,Santos,Bahia,2,0,H,1,0,H,3,0,H,"4, 15, 51",,2,3,1
BRAZIL,SERIE A,2023,2023-05-10,5,Internacional,Athletico-PR,0,0,D,0,2,A,0,2,A,,"79, 90+6",0,2,2
BRAZIL,SERIE A,2023,2023-05-10,5,Bragantino,America MG,2,1,H,0,1,A,2,2,D,"34, 44","15, 78",3,4,1
BRAZIL,SERIE A,2023,2023-05-10,5,Flamengo RJ,Goias,1,0,H,1,0,H,2,0,H,"8, 49",,1,2,1
BRAZIL,SERIE A,2023,2023-05-10,5,Cuiaba,Atletico-MG,0,1,A,0,3,A,0,4,A,,"13, 51, 72, 87",1,4,3
BRAZIL,SERIE A,2023,2023-05-10,5,Palmeiras,Gremio,1,1,D,3,0,H,4,1,H,"24, 57, 69, 73",45+3,2,5,3
BRAZIL,SERIE A,2023,2023-05-10,5,Cruzeiro,Fluminense,0,1,A,0,1,A,0,2,A,,"44, 54",1,2,1
BRAZIL,SERIE A,2023,2023-05-11,5,Coritiba,Vasco,1,0,H,0,1,A,1,1,D,45+4,80,1,2,1
BRAZIL,SERIE A,2023,2023-05-11,5,Botafogo RJ,Corinthians,1,0,H,2,0,H,3,0,H,"13, 65, 82",,1,3,2
BRAZIL,SERIE A,2023,2023-05-11,5,Fortaleza,Sao Paulo,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE A,2023,2023-05-13,6,Fluminense,Cuiaba,1,0,H,1,0,H,2,0,H,"6, 56",,1,2,1
BRAZIL,SERIE A,2023,2023-05-13,6,Atletico-MG,Internacional,1,0,H,1,0,H,2,0,H,"3, 90+5",,1,2,1
BRAZIL,SERIE A,2023,2023-05-13,6,Bahia,Flamengo RJ,1,3,A,1,0,H,2,3,A,"36, 52","24, 29, 45+5",4,5,1
BRAZIL,SERIE A,2023,2023-05-13,6,Palmeiras,Bragantino,0,0,D,1,1,D,1,1,D,65,72,0,2,2
BRAZIL,SERIE A,2023,2023-05-14,6,Vasco,Santos,0,1,A,0,0,D,0,1,A,,29,1,1,0
BRAZIL,SERIE A,2023,2023-05-14,6,Gremio,Fortaleza,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE A,2023,2023-05-14,6,Corinthians,Sao Paulo,1,1,D,0,0,D,1,1,D,45+7,16,2,2,0
BRAZIL,SERIE A,2023,2023-05-14,6,Goias,Botafogo RJ,1,1,D,1,0,H,2,1,H,"45+7, 57",33,2,3,1
BRAZIL,SERIE A,2023,2023-05-14,6,Athletico-PR,Coritiba,0,1,A,3,1,H,3,2,H,"49, 90+1, 90+8","21, 67",1,5,4
BRAZIL,SERIE A,2023,2023-05-14,6,America MG,Cruzeiro,0,1,A,0,3,A,0,4,A,,"33, 70, 84, 90+1",1,4,3
BRAZIL,SERIE A,2023,2023-05-20,7,Santos,Palmeiras,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE A,2023,2023-05-20,7,America MG,Fortaleza,2,1,H,0,0,D,2,1,H,"2, 33",26,3,3,0
BRAZIL,SERIE A,2023,2023-05-20,7,Botafogo RJ,Fluminense,0,0,D,1,0,H,1,0,H,75,,0,1,1
BRAZIL,SERIE A,2023,2023-05-20,7,Sao Paulo,Vasco,2,1,H,2,1,H,4,2,H,"25, 42, 89, 90+3","45, 84",3,6,3
BRAZIL,SERIE A,2023,2023-05-20,7,Coritiba,Atletico-MG,1,1,D,0,1,A,1,2,A,13,"36, 90+1",2,3,1
BRAZIL,SERIE A,2023,2023-05-20,7,Bahia,Goias,1,1,D,0,0,D,1,1,D,26,32,2,2,0
BRAZIL,SERIE A,2023,2023-05-20,7,Bragantino,Athletico-PR,1,0,H,1,0,H,2,0,H,"17, 86",,1,2,1
BRAZIL,SERIE A,2023,2023-05-21,7,Flamengo RJ,Corinthians,0,0,D,1,0,H,1,0,H,90+4,,0,1,1
BRAZIL,SERIE A,2023,2023-05-21,7,Gremio,Internacional,2,0,H,1,1,D,3,1,H,"8, 32, 66",87,2,4,2
BRAZIL,SERIE A,2023,2023-05-22,7,Cruzeiro,Cuiaba,0,1,A,0,0,D,0,1,A,,37,1,1,0
BRAZIL,SERIE A,2023,2023-05-27,8,Sao Paulo,Goias,0,1,A,2,0,H,2,1,H,"57, 90+1",29,1,3,2
BRAZIL,SERIE A,2023,2023-05-27,8,Flamengo RJ,Cruzeiro,1,1,D,0,0,D,1,1,D,33,6,2,2,0
BRAZIL,SERIE A,2023,2023-05-27,8,Cuiaba,Coritiba,1,0,H,0,1,A,1,1,D,4,49,1,2,1
BRAZIL,SERIE A,2023,2023-05-27,8,Fortaleza,Vasco,0,0,D,2,0,H,2,0,H,"87, 90+3",,0,2,2
BRAZIL,SERIE A,2023,2023-05-27,8,Athletico-PR,Gremio,1,1,D,0,1,A,1,2,A,34,"31, 49",2,3,1
BRAZIL,SERIE A,2023,2023-05-28,8,Internacional,Bahia,0,0,D,2,0,H,2,0,H,"49, 90+9",,0,2,2
BRAZIL,SERIE A,2023,2023-05-28,8,Corinthians,Fluminense,0,0,D,2,0,H,2,0,H,"59, 90+2",,0,2,2
