nation,league,season,date,round,home,away,HGHT,AGHT,HTR,HG2H,AG2H,2HR,HGFT,AGFT,FTR,HGT,AGT,Goals_HT,Goals_FT,Goals_2H
BRAZIL,SERIE B,2023,2023-04-14,1,Guarani,Avai,1,0,H,3,1,H,4,1,H,"14, 77, 84, 90+2",55,1,5,4
BRAZIL,SERIE B,2023,2023-04-14,1,Ituano,Ceara,1,0,H,1,0,H,2,0,H,"39, 90+8",,1,2,1
BRAZIL,SERIE B,2023,2023-04-15,1,Vila Nova FC,Novorizontino,2,0,H,0,1,A,2,1,H,"10, 45+6",90+5,2,3,1
BRAZIL,SERIE B,2023,2023-04-15,1,Sampaio Correa,Atletico GO,1,2,A,2,1,H,3,3,D,"43, 83, 90+6","24, 44, 81",3,6,3
BRAZIL,SERIE B,2023,2023-04-15,1,Mirassol,Chapecoense-SC,0,0,D,1,0,H,1,0,H,63,,0,1,1
BRAZIL,SERIE B,2023,2023-04-15,1,Juventude,Botafogo SP,0,1,A,1,1,D,1,2,A,52,"45+1, 60",1,3,2
BRAZIL,SERIE B,2023,2023-04-16,1,Criciuma,Tombense,1,0,H,1,0,H,2,0,H,"2, 68",,1,2,1
BRAZIL,SERIE B,2023,2023-04-16,1,Londrina,ABC,0,0,D,1,0,H,1,0,H,89,,0,1,1
BRAZIL,SERIE B,2023,2023-04-16,1,Vitoria,Ponte Preta,2,0,H,1,0,H,3,0,H,"20, 45, 86",,2,3,1
BRAZIL,SERIE B,2023,2023-04-21,2,Ponte Preta,Criciuma,1,2,A,0,0,D,1,2,A,14,"12, 32",3,3,0
BRAZIL,SERIE B,2023,2023-04-21,2,Atletico GO,CRB,2,0,H,0,1,A,2,1,H,"13, 38",90+2,2,3,1
BRAZIL,SERIE B,2023,2023-04-21,2,Botafogo SP,Sampaio Correa,1,0,H,0,0,D,1,0,H,11,,1,1,0
BRAZIL,SERIE B,2023,2023-04-22,2,Tombense,Ituano,1,0,H,2,0,H,3,0,H,"42, 68, 81",,1,3,2
BRAZIL,SERIE B,2023,2023-04-22,2,Avai,Mirassol,0,0,D,1,0,H,1,0,H,90+6,,0,1,1
BRAZIL,SERIE B,2023,2023-04-22,2,Novorizontino,Juventude,1,0,H,0,0,D,1,0,H,38,,1,1,0
BRAZIL,SERIE B,2023,2023-04-22,2,Ceara,Guarani,0,2,A,0,1,A,0,3,A,,"11, 25, 90+6",2,3,1
BRAZIL,SERIE B,2023,2023-04-23,2,ABC,Vitoria,0,0,D,0,3,A,0,3,A,,"76, 84, 90+4",0,3,3
BRAZIL,SERIE B,2023,2023-04-23,2,Chapecoense-SC,Londrina,0,0,D,3,0,H,3,0,H,"53, 58, 75",,0,3,3
BRAZIL,SERIE B,2023,2023-04-28,3,Guarani,Ituano,1,0,H,0,0,D,1,0,H,45+6,,1,1,0
BRAZIL,SERIE B,2023,2023-04-28,3,Criciuma,Avai,1,0,H,0,0,D,1,0,H,33,,1,1,0
BRAZIL,SERIE B,2023,2023-04-28,3,Vitoria,Londrina,2,0,H,0,0,D,2,0,H,"8, 18",,2,2,0
BRAZIL,SERIE B,2023,2023-04-29,3,Sampaio Correa,Mirassol,0,1,A,1,2,A,1,3,A,69,"6, 77, 80",1,4,3
BRAZIL,SERIE B,2023,2023-04-29,3,Chapecoense-SC,Ponte Preta,0,1,A,1,0,H,1,1,D,90+7,33,1,2,1
BRAZIL,SERIE B,2023,2023-04-29,3,Botafogo SP,CRB,1,0,H,1,0,H,2,0,H,"23, 90+7",,1,2,1
BRAZIL,SERIE B,2023,2023-04-29,3,Tombense,Atletico GO,0,1,A,1,0,H,1,1,D,70,17,1,2,1
BRAZIL,SERIE B,2023,2023-04-30,3,Novorizontino,Sport Recife,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-04-30,3,ABC,Ceara,1,2,A,0,0,D,1,2,A,33,"6, 42",3,3,0
BRAZIL,SERIE B,2023,2023-04-30,3,Vila Nova FC,Juventude,1,0,H,0,0,D,1,0,H,25,,1,1,0
BRAZIL,SERIE B,2023,2023-05-01,4,Londrina,Criciuma,1,1,D,0,0,D,1,1,D,29,10,2,2,0
BRAZIL,SERIE B,2023,2023-05-02,4,Atletico GO,Chapecoense-SC,1,0,H,1,1,D,2,1,H,"20, 89",67,1,3,2
BRAZIL,SERIE B,2023,2023-05-02,4,Ponte Preta,Botafogo SP,0,0,D,2,0,H,2,0,H,"62, 72",,0,2,2
BRAZIL,SERIE B,2023,2023-05-02,4,CRB,Sampaio Correa,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-05-03,4,Mirassol,Novorizontino,0,1,A,0,1,A,0,2,A,,"41, 65",1,2,1
BRAZIL,SERIE B,2023,2023-05-03,4,Juventude,Guarani,1,0,H,0,0,D,1,0,H,9,,1,1,0
BRAZIL,SERIE B,2023,2023-05-03,4,Ituano,ABC,2,0,H,1,0,H,3,0,H,"10, 13, 62",,2,3,1
BRAZIL,SERIE B,2023,2023-05-03,4,Avai,Vila Nova FC,0,2,A,0,1,A,0,3,A,,"30, 39, 55",2,3,1
BRAZIL,SERIE B,2023,2023-05-05,5,Botafogo SP,Vitoria,0,1,A,0,2,A,0,3,A,,"35, 62, 90+3",1,3,2
BRAZIL,SERIE B,2023,2023-05-06,5,Chapecoense-SC,Novorizontino,1,1,D,0,0,D,1,1,D,33,4,2,2,0
BRAZIL,SERIE B,2023,2023-05-06,5,Mirassol,Vila Nova FC,1,1,D,0,0,D,1,1,D,12,2,2,2,0
BRAZIL,SERIE B,2023,2023-05-06,5,CRB,ABC,0,0,D,1,1,D,1,1,D,90+2,67,0,2,2
BRAZIL,SERIE B,2023,2023-05-06,5,Tombense,Avai,0,1,A,0,0,D,0,1,A,,39,1,1,0
BRAZIL,SERIE B,2023,2023-05-06,5,Criciuma,Ituano,0,0,D,2,1,H,2,1,H,"50, 56",67,0,3,3
BRAZIL,SERIE B,2023,2023-05-06,5,Sampaio Correa,Juventude,0,1,A,2,0,H,2,1,H,"59, 78",45+5,1,3,2
BRAZIL,SERIE B,2023,2023-05-07,5,Ponte Preta,Ceara,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-05-07,5,Sport Recife,Guarani,2,0,H,0,0,D,2,0,H,"29, 44",,2,2,0
BRAZIL,SERIE B,2023,2023-05-08,5,Atletico GO,Londrina,1,0,H,1,1,D,2,1,H,"15, 75",79,1,3,2
BRAZIL,SERIE B,2023,2023-05-10,4,Ceara,Vitoria,0,0,D,0,2,A,0,2,A,,"49, 62",0,2,2
BRAZIL,SERIE B,2023,2023-05-10,4,Sport Recife,Tombense,2,1,H,1,1,D,3,2,H,"14, 35, 54","32, 70",3,5,2
BRAZIL,SERIE B,2023,2023-05-12,6,Vila Nova FC,Criciuma,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-05-12,6,Avai,Chapecoense-SC,0,1,A,1,3,A,1,4,A,90,"8, 58, 90+5, 90+11",1,5,4
BRAZIL,SERIE B,2023,2023-05-13,6,Ceara,Tombense,1,0,H,1,0,H,2,0,H,"20, 77",,1,2,1
BRAZIL,SERIE B,2023,2023-05-13,6,Guarani,Sampaio Correa,2,0,H,0,0,D,2,0,H,"4, 8",,2,2,0
BRAZIL,SERIE B,2023,2023-05-13,6,Novorizontino,CRB,0,0,D,0,1,A,0,1,A,,63,0,1,1
BRAZIL,SERIE B,2023,2023-05-13,6,Juventude,Mirassol,0,0,D,0,1,A,0,1,A,,53,0,1,1
BRAZIL,SERIE B,2023,2023-05-14,6,Londrina,Ponte Preta,0,0,D,3,0,H,3,0,H,"66, 82, 90+4",,0,3,3
BRAZIL,SERIE B,2023,2023-05-14,6,Vitoria,Atletico GO,0,2,A,2,1,H,2,3,A,"64, 90","26, 28, 78",2,5,3
BRAZIL,SERIE B,2023,2023-05-14,6,ABC,Botafogo SP,1,2,A,0,0,D,1,2,A,10,"21, 35",3,3,0
BRAZIL,SERIE B,2023,2023-05-14,6,Ituano,Sport Recife,1,1,D,0,0,D,1,1,D,32,20,2,2,0
BRAZIL,SERIE B,2023,2023-05-19,7,Atletico GO,Avai,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-05-19,7,Tombense,Londrina,0,0,D,0,2,A,0,2,A,,"71, 89",0,2,2
BRAZIL,SERIE B,2023,2023-05-19,7,Mirassol,Vitoria,1,0,H,1,0,H,2,0,H,"45+4, 50",,1,2,1
BRAZIL,SERIE B,2023,2023-05-20,7,Ituano,Novorizontino,0,0,D,0,2,A,0,2,A,,"72, 85",0,2,2
BRAZIL,SERIE B,2023,2023-05-20,7,Sport Recife,Botafogo SP,1,0,H,2,0,H,3,0,H,"45+5, 60, 90+3",,1,3,2
BRAZIL,SERIE B,2023,2023-05-20,7,Sampaio Correa,ABC,1,0,H,0,0,D,1,0,H,6,,1,1,0
BRAZIL,SERIE B,2023,2023-05-21,7,Chapecoense-SC,Juventude,0,1,A,0,1,A,0,2,A,,"39, 84",1,2,1
BRAZIL,SERIE B,2023,2023-05-21,7,Criciuma,Ceara,1,2,A,0,0,D,1,2,A,32,"3, 44",3,3,0
BRAZIL,SERIE B,2023,2023-05-21,7,Ponte Preta,Guarani,0,0,D,1,1,D,1,1,D,90+1,90+6,0,2,2
BRAZIL,SERIE B,2023,2023-05-21,7,CRB,Vila Nova FC,0,2,A,0,1,A,0,3,A,,"33, 45, 87",2,3,1
BRAZIL,SERIE B,2023,2023-05-23,8,Botafogo SP,Mirassol,0,0,D,1,0,H,1,0,H,90,,0,1,1
BRAZIL,SERIE B,2023,2023-05-23,8,Novorizontino,Avai,0,0,D,2,0,H,2,0,H,"58, 90+1",,0,2,2
BRAZIL,SERIE B,2023,2023-05-23,8,ABC,Tombense,0,0,D,1,0,H,1,0,H,72,,0,1,1
BRAZIL,SERIE B,2023,2023-05-24,8,Londrina,Ceara,0,3,A,1,0,H,1,3,A,90+4,"2, 17, 36",3,4,1
BRAZIL,SERIE B,2023,2023-05-24,8,Criciuma,Sport Recife,1,0,H,0,0,D,1,0,H,4,,1,1,0
